%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82739.390,301.380,0.956,14.981,107.316,105.961,-544.200,-541.005,-538.767,-539.589,-537.797,-541.069,-542.644,-542.325,-540.454,-537.859,-536.894,-542.609,0.314,-537.968,-539.382,-541.102,-0.650,-544.798,-289.718,14.557,32.998,-40.034
82735.359,301.380,0.956,14.986,107.395,105.961,-543.659,-541.674,-539.408,-538.754,-538.660,-541.692,-542.644,-542.432,-540.900,-538.276,-535.839,-543.989,0.105,-537.132,-540.211,-542.115,-0.660,-544.798,-289.718,14.557,33.014,-40.024
82735.359,301.383,0.956,14.970,107.158,105.961,-543.875,-541.339,-539.622,-538.859,-537.905,-542.003,-543.178,-542.325,-540.565,-537.859,-536.156,-542.715,0.419,-537.968,-539.589,-542.678,-0.670,-544.798,-289.718,14.557,32.981,-40.014
82731.327,301.385,0.956,14.965,107.079,105.961,-543.875,-541.228,-539.088,-539.276,-538.336,-541.588,-543.712,-542.646,-540.454,-539.109,-536.367,-543.352,0.524,-538.281,-539.589,-540.877,-0.660,-544.798,-289.718,14.557,32.981,-40.034
82735.359,301.381,0.956,14.975,107.237,106.121,-545.172,-541.339,-538.874,-538.441,-538.338,-541.692,-542.537,-543.395,-540.677,-538.276,-536.999,-543.246,0.733,-537.759,-539.589,-541.215,-0.670,-544.798,-289.718,14.557,32.998,-40.034
82743.422,301.381,0.956,14.969,107.158,106.121,-543.983,-542.231,-539.195,-538.963,-538.877,-541.692,-542.858,-541.790,-541.458,-538.067,-535.945,-543.883,0.628,-537.759,-539.278,-541.778,-0.670,-544.798,-289.718,14.557,32.981,-40.044
82739.390,301.383,0.956,14.975,107.237,106.282,-543.659,-540.559,-540.156,-538.650,-537.690,-542.522,-542.966,-542.111,-540.454,-538.380,-536.472,-543.246,-0.523,-537.759,-539.693,-541.890,-0.660,-544.798,-289.718,14.557,32.981,-40.024
82743.422,301.381,0.956,14.964,107.079,105.801,-544.308,-541.116,-539.729,-539.694,-538.338,-542.003,-543.927,-542.325,-540.677,-538.588,-536.472,-542.821,0.524,-538.385,-540.107,-540.877,-0.670,-544.798,-289.718,14.557,33.014,-40.044
82743.422,301.383,0.956,14.969,107.158,105.641,-543.875,-541.116,-539.088,-538.546,-538.445,-541.380,-543.072,-542.967,-540.768,-538.171,-536.261,-542.927,0.209,-537.341,-540.211,-541.665,-0.660,-544.798,-289.718,14.557,32.965,-40.024
82739.390,301.383,0.956,14.970,107.158,105.961,-543.659,-541.785,-538.981,-538.859,-538.014,-541.692,-543.179,-542.218,-541.103,-538.172,-536.156,-543.246,0.209,-537.968,-539.382,-542.341,-0.660,-544.798,-289.718,14.557,32.998,-40.034
82743.422,301.381,0.956,14.964,107.079,106.121,-544.200,-540.336,-540.263,-538.963,-538.553,-541.588,-542.859,-542.218,-540.098,-539.423,-536.078,-542.609,-0.000,-537.759,-539.693,-540.990,-0.660,-544.798,-289.718,14.557,33.014,-40.024
82751.484,301.380,0.957,14.974,107.237,106.121,-544.091,-540.893,-538.660,-539.589,-537.906,-541.588,-542.859,-542.753,-539.986,-537.964,-537.027,-542.717,0.419,-537.968,-539.797,-541.215,-0.660,-544.798,-289.718,14.557,32.965,-40.034
82735.359,301.380,0.956,14.970,107.158,106.121,-543.875,-541.674,-540.263,-538.754,-538.877,-541.692,-543.072,-542.860,-540.545,-538.172,-535.867,-543.991,0.419,-537.236,-540.418,-541.553,-0.660,-544.798,-289.718,14.557,32.981,-40.034
82731.327,301.381,0.956,14.970,107.158,105.961,-543.767,-541.897,-540.263,-539.172,-537.798,-542.211,-543.286,-542.325,-540.545,-538.589,-537.027,-542.929,-0.209,-537.762,-539.486,-542.115,-0.660,-544.798,-289.718,14.557,32.981,-40.034
82739.390,301.380,0.956,14.969,107.158,105.961,-543.875,-541.116,-539.729,-538.754,-538.014,-541.173,-543.713,-542.646,-540.433,-538.693,-536.605,-543.248,1.047,-537.762,-539.594,-541.102,-0.629,-544.798,-289.718,14.557,33.014,-40.024
82739.390,301.383,0.956,14.981,107.316,106.121,-544.956,-541.339,-539.515,-538.859,-538.014,-541.796,-542.432,-542.753,-540.545,-537.964,-536.816,-543.460,0.105,-538.180,-539.801,-541.579,-0.660,-544.798,-289.718,14.557,32.965,-40.044
82735.359,301.380,0.956,14.975,107.237,105.961,-543.876,-542.454,-539.622,-539.067,-538.661,-541.796,-542.966,-542.218,-540.768,-538.797,-536.183,-543.567,0.628,-537.553,-539.490,-542.367,-0.660,-544.798,-289.718,14.557,33.014,-40.024
82739.390,301.380,0.956,14.992,107.474,105.641,-544.201,-540.448,-539.515,-539.276,-538.230,-542.418,-543.286,-542.646,-540.545,-538.589,-536.711,-543.460,0.209,-538.180,-539.594,-541.916,-0.629,-544.798,-289.718,14.557,32.998,-40.034
82735.359,301.381,0.956,14.975,107.237,105.801,-544.201,-541.005,-539.621,-539.589,-538.230,-541.380,-543.713,-542.967,-540.433,-538.381,-536.605,-542.929,0.628,-538.284,-539.594,-541.466,-0.650,-544.798,-289.718,14.557,32.981,-40.034
82743.422,301.380,0.956,14.986,107.395,105.641,-544.417,-541.451,-539.193,-538.650,-538.338,-541.484,-542.966,-543.395,-540.656,-538.381,-536.605,-543.142,-0.000,-537.135,-540.319,-541.466,-0.639,-544.798,-289.718,14.557,32.965,-40.024
82739.390,301.380,0.956,14.986,107.395,105.801,-543.984,-542.008,-539.942,-539.381,-537.799,-541.796,-543.500,-542.111,-541.103,-538.277,-536.078,-543.567,-0.000,-537.762,-539.490,-541.579,-0.639,-544.798,-289.718,14.557,32.965,-40.034
82739.390,301.378,0.956,14.980,107.316,105.481,-544.633,-541.116,-540.262,-539.172,-538.015,-541.588,-543.286,-542.325,-539.651,-539.423,-536.289,-542.929,-0.000,-537.553,-539.697,-541.129,-0.639,-544.798,-289.718,14.557,33.030,-40.024
82735.359,301.380,0.956,14.981,107.316,105.481,-544.417,-541.005,-539.086,-539.381,-538.015,-541.277,-543.285,-543.074,-540.656,-538.172,-536.921,-543.673,0.314,-538.493,-539.386,-541.016,-0.618,-544.798,-289.718,14.557,32.949,-40.024
82739.390,301.377,0.956,14.986,107.395,105.961,-543.444,-541.451,-539.407,-538.754,-538.662,-542.107,-542.858,-542.753,-540.545,-538.172,-536.078,-543.673,0.209,-537.762,-540.423,-541.466,-0.629,-544.798,-289.718,14.557,32.981,-40.044
82731.327,301.381,0.956,14.992,107.474,105.801,-544.093,-541.674,-539.514,-538.859,-537.799,-542.626,-543.392,-542.539,-540.904,-538.381,-536.605,-543.354,-0.105,-537.762,-539.283,-542.367,-0.639,-544.798,-289.718,14.557,32.981,-40.034
82747.453,301.378,0.957,15.002,107.632,106.121,-543.984,-541.116,-539.835,-538.859,-537.907,-541.796,-543.819,-542.753,-539.788,-538.693,-536.183,-543.142,0.523,-537.971,-539.490,-541.129,-0.618,-544.798,-289.718,14.557,32.949,-40.034
82735.359,301.380,0.956,14.997,107.553,105.961,-544.849,-541.116,-539.407,-539.276,-538.231,-541.899,-543.285,-543.074,-540.346,-538.172,-537.448,-543.460,0.628,-538.180,-540.319,-541.916,-0.618,-544.798,-289.718,14.557,32.965,-40.044
82739.390,301.378,0.956,14.997,107.553,105.801,-543.984,-541.674,-539.407,-539.276,-538.878,-541.588,-543.071,-542.539,-541.128,-538.589,-535.972,-544.311,0.523,-537.762,-539.490,-542.029,-0.639,-544.798,-289.718,14.557,32.965,-40.034
82735.359,301.378,0.956,14.986,107.395,106.121,-543.552,-540.559,-540.155,-539.067,-537.691,-542.418,-543.178,-542.539,-540.235,-538.589,-536.499,-542.931,-0.627,-537.971,-539.594,-541.804,-0.618,-544.798,-289.718,14.557,32.998,-40.014
82731.327,301.378,0.956,15.003,107.632,105.961,-543.444,-540.559,-539.193,-539.172,-538.339,-541.796,-543.926,-543.395,-540.458,-538.693,-536.815,-543.249,0.628,-538.388,-540.008,-541.466,-0.629,-544.798,-289.718,14.557,32.965,-40.044
82735.359,301.377,0.956,14.992,107.474,105.961,-544.417,-541.339,-538.980,-538.650,-538.770,-541.588,-542.751,-543.502,-540.235,-538.068,-536.499,-543.037,0.419,-537.552,-539.800,-541.804,-0.618,-544.798,-289.718,14.557,32.998,-40.034
82735.359,301.378,0.956,14.992,107.474,106.282,-543.552,-541.785,-539.621,-538.859,-537.799,-541.796,-543.498,-542.646,-541.351,-538.485,-536.182,-543.355,0.105,-537.343,-539.489,-541.693,-0.618,-544.798,-289.718,14.557,32.998,-40.034
82743.422,301.380,0.956,15.008,107.711,106.282,-543.986,-540.559,-539.835,-539.172,-538.339,-541.692,-542.431,-542.004,-540.123,-538.797,-536.710,-543.143,-0.105,-537.865,-539.282,-541.242,-0.629,-544.798,-289.718,14.557,32.965,-40.034
82739.390,301.380,0.956,15.003,107.632,106.121,-543.769,-540.892,-539.086,-539.902,-538.339,-541.173,-543.605,-542.860,-540.458,-538.172,-536.815,-543.355,0.524,-538.597,-539.696,-541.580,-0.629,-544.798,-289.718,14.557,32.981,-40.044
82739.390,301.380,0.956,15.003,107.632,105.641,-543.878,-541.004,-539.514,-538.754,-538.555,-541.069,-542.965,-542.646,-540.235,-538.172,-535.655,-543.143,0.209,-537.447,-540.111,-541.580,-0.639,-544.798,-289.718,14.557,32.981,-40.034
82739.390,301.380,0.956,14.997,107.553,106.121,-543.769,-541.338,-539.514,-538.859,-538.231,-542.314,-542.858,-542.111,-540.346,-538.277,-535.866,-543.568,0.419,-537.447,-539.282,-541.693,-0.618,-544.798,-289.718,14.557,32.949,-40.034
82735.359,301.378,0.956,14.986,107.395,106.121,-544.094,-540.781,-539.300,-538.754,-537.583,-541.484,-543.285,-542.325,-539.788,-538.797,-535.972,-543.037,0.314,-537.552,-539.282,-540.567,-0.629,-544.798,-289.718,14.557,32.998,-40.014
