%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83372.319,299.530,0.970,14.828,106.593,105.148,-339.809,-337.705,-335.534,-334.549,-333.986,-337.462,-338.266,-337.556,-336.577,-334.409,-331.756,-339.416,0.209,-333.545,-334.776,-337.634,-9.010,-544.798,-289.718,14.557,90.325,-129.931
83368.288,299.530,0.970,14.833,106.672,105.308,-339.917,-336.255,-335.747,-334.236,-333.554,-338.396,-338.373,-337.556,-336.019,-334.826,-332.494,-338.354,-0.627,-333.963,-335.191,-337.296,-9.010,-544.798,-289.718,14.557,90.308,-129.921
83352.162,299.530,0.969,14.824,106.514,105.628,-339.484,-337.147,-334.250,-335.175,-333.662,-336.944,-339.334,-338.198,-336.354,-334.722,-331.966,-338.567,-0.000,-334.590,-335.398,-337.296,-9.010,-544.798,-289.718,14.557,90.292,-129.911
83356.194,299.530,0.969,14.818,106.435,105.308,-339.809,-337.370,-335.105,-334.026,-333.986,-337.774,-338.800,-338.519,-336.242,-334.305,-331.861,-338.885,-0.000,-333.127,-336.124,-337.971,-9.020,-544.798,-289.718,14.557,90.325,-129.941
83364.256,299.530,0.970,14.812,106.356,105.308,-339.917,-337.704,-335.318,-334.443,-333.555,-337.981,-338.266,-337.556,-337.247,-334.201,-332.177,-339.098,-0.314,-333.754,-334.776,-337.971,-9.010,-544.798,-289.718,14.557,90.308,-129.941
83364.256,299.530,0.970,14.817,106.435,105.468,-340.025,-337.035,-335.853,-334.443,-333.447,-337.358,-338.587,-337.877,-336.019,-335.139,-332.283,-338.460,0.209,-333.859,-335.398,-337.296,-9.000,-544.798,-289.718,14.557,90.308,-129.931
83364.256,299.529,0.970,14.817,106.435,104.988,-340.457,-337.147,-334.998,-335.174,-334.310,-337.773,-338.586,-338.091,-336.242,-334.097,-332.494,-338.885,-0.105,-334.590,-335.398,-337.071,-9.010,-544.798,-289.718,14.557,90.308,-129.911
83360.225,299.530,0.970,14.818,106.435,105.468,-340.025,-337.035,-334.891,-334.026,-334.526,-337.773,-338.479,-338.625,-336.577,-334.201,-331.861,-339.310,-0.000,-333.441,-335.709,-336.958,-8.989,-544.798,-289.718,14.557,90.341,-129.921
83368.288,299.529,0.970,14.822,106.514,105.308,-339.052,-336.589,-335.532,-334.652,-333.555,-337.669,-338.479,-338.304,-335.966,-334.409,-331.545,-338.248,-0.209,-333.754,-334.880,-338.197,-8.989,-544.798,-289.718,14.557,90.276,-129.931
83372.319,299.530,0.970,14.811,106.356,105.308,-339.484,-336.367,-334.998,-334.652,-334.094,-336.943,-338.693,-337.876,-335.743,-334.409,-332.072,-338.991,0.419,-333.754,-335.502,-336.958,-9.000,-544.798,-289.718,14.557,90.292,-129.931
